Time,ObjectID,Label,X,Y,Speed (km/h),Alert
2025-09-03 11:27:49,1,person,469,320,0.00,No
2025-09-03 11:27:49,2,person,419,319,0.00,No
2025-09-03 11:27:49,3,person,470,321,0.00,No
2025-09-03 11:27:49,3,person,468,321,2.02,No
2025-09-03 11:27:49,3,person,468,321,0.00,No
2025-09-03 11:27:50,3,person,464,322,3.08,No
2025-09-03 11:27:50,3,person,463,321,0.92,No
2025-09-03 11:27:50,3,person,466,321,2.24,No
2025-09-03 11:27:50,3,person,465,320,0.93,No
2025-09-03 11:27:51,3,person,467,320,1.86,No
2025-09-03 11:27:51,4,person,308,418,0.00,No
2025-09-03 11:27:51,3,person,469,321,2.29,No
2025-09-03 11:27:51,4,person,302,421,6.87,No
2025-09-03 11:27:51,3,person,470,321,1.19,No
2025-09-03 11:27:51,4,person,301,421,1.19,No
2025-09-03 11:27:51,3,person,470,321,0.00,No
2025-09-03 11:27:51,4,person,301,420,1.21,No
2025-09-03 11:27:51,3,person,469,321,1.27,No
2025-09-03 11:27:51,4,person,301,420,0.00,No
2025-09-03 11:27:51,3,person,467,321,1.73,No
2025-09-03 11:27:51,4,person,297,421,3.58,No
2025-09-03 11:27:52,3,person,460,321,6.72,No
2025-09-03 11:27:52,4,person,284,423,12.63,No
2025-09-03 11:27:52,3,person,465,321,5.50,No
2025-09-03 11:27:52,4,person,268,428,18.44,No
2025-09-03 11:27:52,3,person,468,321,2.11,No
2025-09-03 11:27:52,3,person,468,321,0.00,No
2025-09-03 11:27:52,3,person,468,321,0.00,No
2025-09-03 11:27:52,6,person,146,445,0.00,No
2025-09-03 11:27:53,3,person,467,322,0.84,No
2025-09-03 11:27:53,6,person,125,441,13.19,No
2025-09-03 11:27:53,3,person,466,321,0.84,No
2025-09-03 11:27:53,6,person,72,433,31.96,No
2025-09-03 11:27:53,3,person,467,322,0.86,No
2025-09-03 11:27:53,6,person,38,425,21.35,No
2025-09-03 11:27:54,3,person,466,321,0.83,No
2025-09-03 11:27:54,3,person,466,323,1.74,No
2025-09-03 11:27:54,3,person,462,323,3.04,No
2025-09-03 11:27:54,3,person,460,323,2.13,No
2025-09-03 11:27:55,3,person,440,323,14.80,No
2025-09-03 11:27:55,3,person,434,322,5.49,No
2025-09-03 11:27:55,3,person,450,322,15.06,No
2025-09-03 11:27:55,3,person,448,321,2.11,No
2025-09-03 11:27:55,3,person,438,326,9.19,No
2025-09-03 11:27:56,3,person,440,326,2.06,No
2025-09-03 11:27:56,3,person,441,324,1.58,No
2025-09-03 11:27:56,3,person,441,316,7.37,No
2025-09-03 11:27:56,3,person,426,316,12.44,No
2025-09-03 11:27:56,3,person,422,316,3.89,No
2025-09-03 11:27:57,3,person,426,315,3.80,No
2025-09-03 11:27:57,3,person,430,314,4.05,No
2025-09-03 11:27:57,3,person,431,311,3.07,No
2025-09-03 11:27:57,3,person,429,311,1.77,No
2025-09-03 11:27:57,3,person,432,311,3.46,No
2025-09-03 11:27:57,3,person,432,313,2.07,No
2025-09-03 11:27:58,3,person,431,315,1.59,No
2025-09-03 11:27:58,3,person,430,318,2.55,No
2025-09-03 11:27:58,3,person,425,320,4.42,No
2025-09-03 11:27:58,3,person,425,319,0.83,No
2025-09-03 11:27:59,3,person,428,318,2.48,No
2025-09-03 11:27:59,3,person,428,317,0.61,No
2025-09-03 11:27:59,3,person,429,317,0.76,No
2025-09-03 11:27:59,3,person,428,315,2.06,No
2025-09-03 11:28:00,3,person,429,315,0.89,No
2025-09-03 11:28:00,3,person,429,315,0.00,No
2025-09-03 11:28:00,3,person,430,315,0.76,No
2025-09-03 11:28:00,3,person,432,316,1.96,No
2025-09-03 11:28:00,3,person,433,317,1.46,No
2025-09-03 11:28:00,3,person,433,317,0.00,No
2025-09-03 11:28:01,3,person,436,317,3.52,No
2025-09-03 11:28:01,3,person,434,315,2.56,No
2025-09-03 11:28:01,3,person,435,310,6.25,No
2025-09-03 11:28:01,3,person,436,302,10.19,No
2025-09-03 11:28:01,3,person,433,304,4.53,No
2025-09-03 11:28:01,3,person,432,302,1.81,No
2025-09-03 11:28:02,3,person,437,302,2.98,No
2025-09-03 11:28:02,3,person,447,305,10.53,No
